id,family,father,mother,midparentheight,children,childnum,gender,childheight
1,1,78.5,67,75.43000031,4,1,male,73.19999695
2,1,78.5,67,75.43000031,4,2,female,69.19999695
3,1,78.5,67,75.43000031,4,3,female,69
4,1,78.5,67,75.43000031,4,4,female,69
5,2,75.5,66.5,73.66000366,4,1,male,73.5
6,2,75.5,66.5,73.66000366,4,2,male,72.5
7,2,75.5,66.5,73.66000366,4,3,female,65.5
8,2,75.5,66.5,73.66000366,4,4,female,65.5
9,3,75,64,72.05999756,2,1,male,71
10,3,75,64,72.05999756,2,2,female,68
11,4,75,64,72.05999756,5,1,male,70.5
12,4,75,64,72.05999756,5,2,male,68.5
13,4,75,64,72.05999756,5,3,female,67
14,4,75,64,72.05999756,5,4,female,64.5
15,4,75,64,72.05999756,5,5,female,63
16,5,75,58.5,69.08999634,6,1,male,72
17,5,75,58.5,69.08999634,6,2,male,69
18,5,75,58.5,69.08999634,6,3,male,68
19,5,75,58.5,69.08999634,6,4,female,66.5
20,5,75,58.5,69.08999634,6,5,female,62.5
21,5,75,58.5,69.08999634,6,6,female,62.5
22,6,74,68,73.72000122,1,1,female,69.5
23,7,74,68,73.72000122,6,1,male,76.5
24,7,74,68,73.72000122,6,2,male,74
25,7,74,68,73.72000122,6,3,male,73
26,7,74,68,73.72000122,6,4,male,73
27,7,74,68,73.72000122,6,5,female,70.5
28,7,74,68,73.72000122,6,6,female,64
29,8,74,66.5,72.91000366,3,1,female,70.5
30,8,74,66.5,72.91000366,3,2,female,68
31,8,74,66.5,72.91000366,3,3,female,66
32,9,74.5,66,72.88999939,1,1,female,66
33,10,74,65.5,72.37000275,1,1,female,65.5
34,11,74,62,70.48000336,8,1,male,74
35,11,74,62,70.48000336,8,2,male,70
36,11,74,62,70.48000336,8,3,female,68
37,11,74,62,70.48000336,8,4,female,67
38,11,74,62,70.48000336,8,5,female,67
39,11,74,62,70.48000336,8,6,female,66
40,11,74,62,70.48000336,8,7,female,63.5
41,11,74,62,70.48000336,8,8,female,63
42,12,74,61,69.94000244,1,1,female,65
43,13,73,67,72.68000031,2,1,male,71
44,13,73,67,72.68000031,2,2,female,62
45,14,73,67,72.68000031,2,1,male,68
46,14,73,67,72.68000031,2,2,male,67
47,15,73,66.5,72.41000366,3,1,male,71
48,15,73,66.5,72.41000366,3,2,male,70.5
49,15,73,66.5,72.41000366,3,3,female,66.69999695
50,16,73,65,71.59999847,9,1,male,72
51,16,73,65,71.59999847,9,2,male,70.5
52,16,73,65,71.59999847,9,3,male,70.19999695
53,16,73,65,71.59999847,9,4,male,70.19999695
54,16,73,65,71.59999847,9,5,male,69.19999695
55,16,73,65,71.59999847,9,6,female,68.69999695
56,16,73,65,71.59999847,9,7,female,66.5
57,16,73,65,71.59999847,9,8,female,64.5
58,16,73,65,71.59999847,9,9,female,63.5
59,17,73,64.5,71.33000183,6,1,male,74
60,17,73,64.5,71.33000183,6,2,male,73
61,17,73,64.5,71.33000183,6,3,male,71.5
62,17,73,64.5,71.33000183,6,4,male,62.5
63,17,73,64.5,71.33000183,6,5,female,66.5
64,17,73,64.5,71.33000183,6,6,female,62.29999924
65,18,73,64,71.05999756,3,1,female,66
66,18,73,64,71.05999756,3,2,female,64.5
67,18,73,64,71.05999756,3,3,female,64
68,19,73.19999695,63,70.62000275,1,1,female,62.70000076
69,20,72.69999695,69,73.61000061,8,1,male,73.19999695
70,20,72.69999695,69,73.61000061,8,2,male,73
71,20,72.69999695,69,73.61000061,8,3,male,72.69999695
72,20,72.69999695,69,73.61000061,8,4,female,70
73,20,72.69999695,69,73.61000061,8,5,female,69
74,20,72.69999695,69,73.61000061,8,6,female,68.5
75,20,72.69999695,69,73.61000061,8,7,female,68
76,20,72.69999695,69,73.61000061,8,8,female,66
77,21,72,68,72.72000122,3,1,male,73
78,21,72,68,72.72000122,3,2,female,68.5
79,21,72,68,72.72000122,3,3,female,68
80,22,72,67,72.18000031,3,1,male,73
81,22,72,67,72.18000031,3,2,male,71
82,22,72,67,72.18000031,3,3,female,67
83,23,72,65,71.09999847,7,1,male,74.19999695
84,23,72,65,71.09999847,7,2,male,70.5
85,23,72,65,71.09999847,7,3,male,69.5
86,23,72,65,71.09999847,7,4,female,66
87,23,72,65,71.09999847,7,5,female,65.5
88,23,72,65,71.09999847,7,6,female,65
89,23,72,65,71.09999847,7,7,female,65
90,24,72,65.5,71.37000275,1,1,female,65.5
91,25,72,64,70.55999756,2,1,female,66
92,25,72,64,70.55999756,2,2,female,63
93,26,72,63,70.01999664,5,1,male,70.5
94,26,72,63,70.01999664,5,2,male,70.5
95,26,72,63,70.01999664,5,3,male,69
96,26,72,63,70.01999664,5,4,female,65
97,26,72,63,70.01999664,5,5,female,63
98,27,72,63,70.01999664,3,1,male,69
99,27,72,63,70.01999664,3,2,male,67
100,27,72,63,70.01999664,3,3,female,63
101,28,72,63,70.01999664,6,1,male,73
102,28,72,63,70.01999664,6,2,male,67
103,28,72,63,70.01999664,6,3,female,70.5
104,28,72,63,70.01999664,6,4,female,70
105,28,72,63,70.01999664,6,5,female,66.5
106,28,72,63,70.01999664,6,6,female,63
107,29,72.5,63.5,70.54000092,3,1,female,67.5
108,29,72.5,63.5,70.54000092,3,2,female,67.19999695
109,29,72.5,63.5,70.54000092,3,3,female,66.69999695
110,30,72,62,69.48000336,1,1,female,64
111,31,72.5,62,69.73000336,6,1,male,71
112,31,72.5,62,69.73000336,6,2,male,70
113,31,72.5,62,69.73000336,6,3,male,70
114,31,72.5,62,69.73000336,6,4,female,66
115,31,72.5,62,69.73000336,6,5,female,65
116,31,72.5,62,69.73000336,6,6,female,65
117,32,72,62,69.48000336,5,1,male,74
118,32,72,62,69.48000336,5,2,male,72
119,32,72,62,69.48000336,5,3,male,69
120,32,72,62,69.48000336,5,4,female,67.5
121,32,72,62,69.48000336,5,5,female,63.5
